name,followers,genres,location
WAYF,13.2K,Christian Contemporary,"West Palm Beach, FL"
KAWZ,73.0K,Gospel,"Golden Lakes, FL"
WRMB,29.3K,Christian Contemporary,"Boynton Beach, FL"
WCNO,3.0K,Gospel,"Palm City, FL"
89.3 K-LOVE Radio KLOV,171.8K,Christian Contemporary,"West Palm Beach, FL"
WLRN-FM,58.6K,Jazz,"Miami, FL"
WLRN Classical 24,16.7K,Classical,"Miami, FL"
Family Radio Network East,40.1K,Christian Talk,"Stuart, FL"
Mia 921,3.6K,Spanish Music,"West Palm Beach, FL"
Wave 92.7,785,Country,"Stuart, FL"
Foggy Mountain,4.2K,Classic Country,"Stuart, FL"
Easy 93,102.2K,Easy Listening,"Miami, FL"
WROD,2.9K,Classic Rock,"Ormond Beach, FL"
MY939,5.4K,Rhythmic AC,"Miami Beach, FL"
935TheBULL,2.5K,Country,"Miami Beach, FL"
Real Radio 94.3 WZZR,1.8K,Classic Rock,"Riviera Beach, FL"
MEGA 94.9,15.8K,Spanish Music,"Miami Beach, FL"
Reach FM,13.2K,Christian Contemporary,"Miami Beach, FL"
Wild 95.5,3.4K,Top 40/Pop,"Juno Beach, FL"
Pride Radio,2.9K,LGBT,"Juno Beach, FL"
POWER96,269.0K,Hip Hop,"Miami, FL"
HITS 97.3,83.1K,Top 40/Pop,"Miami, FL"
WRMF,34.5K,Hot AC,"Palm Beach, FL"
WPBV-LP,27,None,"Palm Beach, FL"
98.7 The Gater,2.3K,Classic Rock,"Wellington, FL"
99 JAMZ,414.7K,Soul and R&B,"Miami, FL"
La Ley,12.0K,Mexican,"Palm Beach Gardens, FL"
KISS 99.9 FM,62.8K,Country,"Boca Raton, FL"
WJPP-LP,408,Catholic Talk,"Palm City, FL"
Legends Radio,2.7K,Standards,"Lake Park, FL"
Y100,12.2K,Top 40/Pop,"Fort Lauderdale, FL"
Evolution 93.5,2.0K,Electronic,"Fort Lauderdale, FL"
101.1 WDZP,105,None,"West Palm Beach, FL"
Coast 101.3,5.6K,Adult Contemporary,"Port Saint Lucie, FL"
101.5 LITE FM,95.3K,Adult Contemporary,"Miami, FL"
Today's Life,2.2K,Adult Contemporary,"Miami, FL"
The Omega Church Radio,168,Gospel,"Oakland Park, FL"
X102.3,52.9K,Soul and R&B,"Jensen Beach, FL"
Beatz 96.3,5.6K,Hip Hop,"Jensen Beach, FL"
102.7 The Beach,61.3K,Classic Hits,"Pompano Beach, FL"
South Florida Country 103.1 WIRK,12.3K,Country,"Indiantown, FL"
Love Jazz,6.6K,None,"Indiantown, FL"
1035 The BEAT,14.9K,Hip Hop,"Fort Lauderdale, FL"
Danu Radio,2.5K,Russian Music,"Fort Lauderdale, FL"
WJUP-LP,1.9K,Oldies,"Jupiter, FL"
The Shark,2.5K,Alternative Rock,"Miramar, FL"
